ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
247,19641118,040401,20223006,-13.315,-75.265,94,4.8,PERU,HUANCAVELICA
248,19641121,172425,20223006,-4.87,-76.7,109,4.9,PERU,LORETO
249,19641128,164931,20223006,-7.912,-71.367,640,5.6,BRASIL,BRASIL
250,19641129,032455,20223006,-4.12,-80.28,100,4.8,ECUADOR,ECUADOR
251,19641206,031538,20223006,-15.53,-70.6,168,5,PERU,PUNO
252,19641207,155553,20223006,-6.613,-76.352,132,5.2,PERU,SAN MARTIN
253,19641215,162011,20223006,-7.15,-76.77,33,5.2,PERU,SAN MARTIN
254,19641219,111805,20223006,-16.46,-72.87,108,4.7,PERU,AREQUIPA
255,19641222,002449,20223006,-9.615,-71.265,605,5.5,BRASIL,BRASIL
256,19650102,052510,20223006,-15.91,-71.04,69,4.9,PERU,AREQUIPA
257,19650106,152633,20223006,-9.687,-79.373,35,4.9,OCEANO,MAR
258,19650107,115730,20223006,-3.1,-76.7,30,4.9,PERU,LORETO
259,19650107,141722,20223006,-15.5,-70.89,0,4.8,PERU,PUNO
260,19650109,143514,20223006,-9.8,-80,26,4.9,OCEANO,MAR
261,19650110,034346,20223006,-3.32,-81.4,22,5.2,OCEANO,MAR
262,19650111,092739,20223006,-16.8,-74.9,33,4.8,OCEANO,MAR
263,19650112,133651,20223006,-9.747,-74.983,36,5.6,PERU,HUANUCO
264,19650114,082519,20223006,-5.648,-81.366,32,5.8,OCEANO,MAR
265,19650123,144826,20223006,-8.4,-74.5,33,4.7,PERU,UCAYALI
266,19650125,223639,20223006,-9.478,-74.474,115,4.7,PERU,UCAYALI
267,19650126,165415,20223006,-14.379,-75.757,57,4.7,PERU,ICA
268,19650128,053500,20223006,-12.86,-78.58,16,5.2,OCEANO,MAR
269,19650213,100524,20223006,-5.9,-77.6,69,4.9,PERU,SAN MARTIN
270,19650218,223219,20223006,-10.068,-71.101,585,5.5,PERU,UCAYALI
271,19650219,230150,20223006,-7.52,-74.68,138,4.9,PERU,LORETO
272,19650220,211013,20223006,-18.455,-72.71,15,5.3,OCEANO,MAR
273,19650309,025552,20223006,-13.52,-72.79,40,4.6,PERU,APURIMAC
274,19650311,145505,20223006,-18.27,-71.36,68,4.5,OCEANO,MAR
275,19650312,225446,20223006,-5.799,-77.856,38,5.3,PERU,AMAZONAS
276,19650315,050851,20223006,-17.5,-74.9,13,5.8,OCEANO,MAR
277,19650324,111705,20223006,-18.457,-69.96,100,4.9,PERU,CHILE
278,19650328,053028,20223006,-15.277,-72.432,118,5,PERU,AREQUIPA
279,19650328,100001,20223006,-15.935,-74.16,68,5.6,OCEANO,MAR
280,19650404,200943,20223006,-8.83,-74.413,143,5.5,PERU,UCAYALI
281,19650406,192150,20223006,-3.146,-78.252,93,5.3,ECUADOR,ECUADOR
282,19650408,000247,20223006,-8.327,-79.607,35,4.7,OCEANO,MAR
283,19650415,020010,20223006,-5.72,-75.6,33,4.9,PERU,LORETO
284,19650422,221405,20223006,-5.997,-78.642,111,5,PERU,CAJAMARCA
285,19650427,052447,20223006,-13.68,-75.896,78,5.2,PERU,ICA
286,19650428,094212,20223006,-14.205,-76.155,70,4.7,PERU,ICA
287,19650504,121041,20223006,-16.53,-73.33,78,4.9,OCEANO,MAR
288,19650505,091358,20223006,-13.861,-75.861,89,5,PERU,ICA
289,19650508,222240,20223006,-13.7,-71.6,20,4.8,PERU,CUSCO
290,19650509,195901,20223006,-2.796,-77.233,112,5.2,PERU,LORETO
291,19650510,083521,20223006,-17.335,-70.692,107,4.9,PERU,TACNA
292,19650511,005831,20223006,-6.7,-80.9,71,4.6,OCEANO,MAR
